experience,top_model,weighted_count,percentage
junior,M1,2.0,3.3333333333333335
junior,M2,9.166666666666666,15.277777777777777
junior,M3,15.833333333333334,26.388888888888893
junior,M4,15.166666666666666,25.277777777777775
junior,M5,17.833333333333332,29.72222222222222
non-expert,M1,0.4,0.6666666666666667
non-expert,M2,11.15,18.583333333333336
non-expert,M3,14.483333333333333,24.13888888888889
non-expert,M4,12.316666666666666,20.527777777777782
non-expert,M5,21.65,36.083333333333336
senior,M1,0.6000000000000001,1.0000000000000002
senior,M2,8.1,13.5
senior,M3,13.933333333333334,23.22222222222222
senior,M4,14.6,24.333333333333332
senior,M5,22.766666666666666,37.94444444444444
